chapter,verse,text,meaning
1,1,"1.1 Dhritarashtra said What did my people and the sons of Pandu do when they had assembled together eager for battle on the holy plain of Kurukshetra, O Sanjaya.",Corrupt women disrupt the family and society.
1,2,"1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words.",Killing family members leads to family downfall and ancestor disrespect.
1,3,"1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple.",Destruction of family customs leads to loss of eternal traditions.
1,4,"1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors).",Those who destroy family practices are destined for eternal hell.
1,5,"1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men.",Duryodhana continues listing the skilled and powerful war heroes among the Pandavas.
1,6,"1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes).","Many strong warriors, including Abhimanyu and the sons of Draupadi, are great heroes."
1,7,"1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information.","The names of the leaders in my army, known for their greatness, are being listed for your knowledge."
1,8,"1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta.","Some notable leaders include Bhishma, Karna, and Asvatthama, who are skilled and powerful warriors."
1,9,"1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle.","Many other skilled warriors, armed with various weapons, are also ready to fight for me."
1,10,"1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient.","Our army, though led by Bhishma, is outnumbered and less powerful compared to theirs."
